timezone;offset;offsetDst;offsetInH;offsetDstInH
Europe/Vatican;3600;7200;1;2
Europe/Vienna;3600;7200;1;2
Europe/Vilnius;7200;10800;2;3
Europe/Volgograd;10800;10800;3;3
Europe/Warsaw;3600;7200;1;2
Europe/Zagreb;3600;7200;1;2
Europe/Zaporozhye;7200;10800;2;3
Europe/Zurich;3600;7200;1;2
Factory;0;0;0;0
GB;0;3600;0;1
GB-Eire;0;3600;0;1
GMT;0;0;0;0
GMT+0;0;0;0;0
GMT-0;0;0;0;0
GMT0;0;0;0;0
Greenwich;0;0;0;0
HST;-36000;-36000;-10;-10
Hongkong;28800;28800;8;8
Iceland;0;0;0;0
Indian/Antananarivo;10800;10800;3;3
Indian/Chagos;21600;21600;6;6
Indian/Christmas;25200;25200;7;7
Indian/Cocos;23400;23400;6.5;6.5
Indian/Comoro;10800;10800;3;3
Indian/Kerguelen;18000;18000;5;5
Indian/Mahe;14400;14400;4;4
Indian/Maldives;18000;18000;5;5
Indian/Mauritius;14400;14400;4;4
Indian/Mayotte;10800;10800;3;3
Indian/Reunion;14400;14400;4;4
Iran;12600;16200;3;4
Israel;7200;10800;2;3
Jamaica;-18000;-18000;-5;-5
Japan;32400;32400;9;9
Kwajalein;43200;43200;12;12
Libya;7200;7200;2;2
MET;3600;7200;1;2
MST;-25200;-25200;-7;-7
MST7MDT;-25200;-21600;-7;-6
Mexico/BajaNorte;-28800;-25200;-8;-7
Mexico/BajaSur;-25200;-21600;-7;-6
Mexico/General;-21600;-18000;-6;-5
Mideast/Riyadh87;0;0;0;0
Mideast/Riyadh88;0;0;0;0
Mideast/Riyadh89;0;0;0;0
NZ;43200;46800;12;13
NZ-CHAT;45900;49500;13;14
Navajo;0;0;0;0
PRC;0;0;0;0
PST8PDT;0;0;0;0
Pacific/Apia;46800;50400;13;14
Pacific/Auckland;43200;46800;12;13
Pacific/Bougainville;39600;39600;11;11
Pacific/Chatham;45900;49500;13;14
Pacific/Chuuk;36000;36000;10;10
Pacific/Easter;-18000;-18000;-5;-5
Pacific/Efate;39600;39600;11;11
Pacific/Enderbury;46800;46800;13;13
Pacific/Fakaofo;46800;46800;13;13
Pacific/Fiji;43200;46800;12;13
Pacific/Funafuti;43200;43200;12;12
Pacific/Galapagos;-21600;-21600;-6;-6
Pacific/Gambier;-32400;-32400;-9;-9
Pacific/Guadalcanal;39600;39600;11;11
Pacific/Guam;36000;36000;10;10
Pacific/Honolulu;-36000;-36000;-10;-10
